code,description,status,work_rvu,facility_pe_rvu,mp_rvu,global_days,conversion_factor
63082,Remove vertebral body add-on,A,4.25,1.43,1.43,ZZZ,33.4009
63085,Remove vert body dcmprn thrc,A,28.73,16.13,9.63,090,33.4009
63086,Remove vertebral body add-on,A,3.11,0.98,1.03,ZZZ,33.4009
63087,Remov vertbr dcmprn thrclmbr,A,36.59,19.06,12.14,090,33.4009
63088,Remove vertebral body add-on,A,4.21,1.37,1.44,ZZZ,33.4009
63090,Remove vert body dcmprn lmbr,A,30.16,15.66,8.73,090,33.4009
63091,Remove vertebral body add-on,A,2.95,0.93,0.85,ZZZ,33.4009
63101,Remove vert body dcmprn thrc,A,33.25,20.92,12.22,090,33.4009
63102,Remove vert body dcmprn lmbr,A,33.25,20.28,11.56,090,33.4009
63103,Remove vertebral body add-on,A,4.70,1.58,1.59,ZZZ,33.4009
63170,Incise spinal cord tract(s),A,21.65,16.38,9.16,090,33.4009
63172,Drainage of spinal cyst,A,19.27,14.48,8.13,090,33.4009
63173,Drainage of spinal cyst,A,23.70,17.09,10.02,090,33.4009
63185,Incise spine nrv half segmnt,A,16.08,14.17,6.77,090,33.4009
63190,Incise spine nrv >2 segmnts,A,18.42,11.34,3.92,090,33.4009
63191,Incise spine accessory nerve,A,18.45,15.00,7.77,090,33.4009
63197,Lam w/cordotomy 1stg thrc,A,23.48,17.01,9.92,090,33.4009
63200,Release spinal cord lumbar,A,20.90,16.33,8.73,090,33.4009
63250,Revise spinal cord vsls crvl,A,42.76,24.05,18.05,090,33.4009
63251,Revise spinal cord vsls thrc,A,43.52,25.07,18.37,090,33.4009
63252,Revise spine cord vsl thrlmb,A,43.51,25.06,18.37,090,33.4009
63265,Excise intraspinl lesion crv,A,23.22,16.09,9.00,090,33.4009
